
libgomp: Invalid value for enviroment variable GOMP_CPU_AFFINITY

info: running 4 threads
information: do warmup.
# index iter.:   frame hex       dec.   increment; drop:         drop      ,  index drops
#           0: 01 db 2b 37   31140663    31140663
#        2150: 01 db 33 9e   31142814           2; drop:            1 drops,            1 index drops
#      821200: 01 e7 b3 9e   31962014           2; drop:          151 drops,          151 index drops
#      821384: 01 e7 b4 57   31962199           2; drop:          152 drops,          152 index drops
#      832059: 01 e7 de 0b   31972875           2; drop:          153 drops,          153 index drops
#      832243: 01 e7 de c4   31973060           2; drop:          154 drops,          154 index drops
information: i=837922, received=44101, dt=3000ms, rate=114.846MB/s.
#      842918: 01 e8 08 78   31983736           2; drop:          155 drops,          155 index drops
#      843102: 01 e8 09 31   31983921           2; drop:          156 drops,          156 index drops
#      853962: 01 e8 33 9e   31994782           2; drop:          157 drops,          157 index drops
#      854146: 01 e8 34 57   31994967           2; drop:          158 drops,          158 index drops
#      864821: 01 e8 5e 0b   32005643           2; drop:          159 drops,          159 index drops
#      865005: 01 e8 5e c4   32005828           2; drop:          160 drops,          160 index drops
#      875680: 01 e8 88 78   32016504           2; drop:          161 drops,          161 index drops
#      875864: 01 e8 89 31   32016689           2; drop:          162 drops,          162 index drops
information: i=882023, received=44101, dt=3000ms, rate=114.846MB/s.
#      886633: 01 e8 b3 46   32027462           5; drop:          163 drops,          166 index drops
#      886720: 01 e8 b3 9e   32027550           2; drop:          164 drops,          167 index drops
#      886904: 01 e8 b4 57   32027735           2; drop:          165 drops,          168 index drops
#      897579: 01 e8 de 0b   32038411           2; drop:          166 drops,          169 index drops
#      897763: 01 e8 de c4   32038596           2; drop:          167 drops,          170 index drops
#      908438: 01 e9 08 78   32049272           2; drop:          168 drops,          171 index drops
#      908622: 01 e9 09 31   32049457           2; drop:          169 drops,          172 index drops
#      919482: 01 e9 33 9e   32060318           2; drop:          170 drops,          173 index drops
#      919666: 01 e9 34 57   32060503           2; drop:          171 drops,          174 index drops
information: i=926121, received=44098, dt=3000ms, rate=114.839MB/s.
#      930341: 01 e9 5e 0b   32071179           2; drop:          172 drops,          175 index drops
#      930525: 01 e9 5e c4   32071364           2; drop:          173 drops,          176 index drops
#      941200: 01 e9 88 78   32082040           2; drop:          174 drops,          177 index drops
#      941384: 01 e9 89 31   32082225           2; drop:          175 drops,          178 index drops
#      952244: 01 e9 b3 9e   32093086           2; drop:          176 drops,          179 index drops
#      952428: 01 e9 b4 57   32093271           2; drop:          177 drops,          180 index drops
#      963103: 01 e9 de 0b   32103947           2; drop:          178 drops,          181 index drops
#      963287: 01 e9 de c4   32104132           2; drop:          179 drops,          182 index drops
information: i=970222, received=44101, dt=3000ms, rate=114.846MB/s.
#      973962: 01 ea 08 78   32114808           2; drop:          180 drops,          183 index drops
#      974146: 01 ea 09 31   32114993           2; drop:          181 drops,          184 index drops
#      985006: 01 ea 33 9e   32125854           2; drop:          182 drops,          185 index drops
#      985190: 01 ea 34 57   32126039           2; drop:          183 drops,          186 index drops
#      995865: 01 ea 5e 0b   32136715           2; drop:          184 drops,          187 index drops
#      996049: 01 ea 5e c4   32136900           2; drop:          185 drops,          188 index drops
#     1006724: 01 ea 88 78   32147576           2; drop:          186 drops,          189 index drops
#     1006908: 01 ea 89 31   32147761           2; drop:          187 drops,          190 index drops
information: i=1014323, received=44101, dt=3001ms, rate=114.808MB/s.
#     1017768: 01 ea b3 9e   32158622           2; drop:          188 drops,          191 index drops
#     1017952: 01 ea b4 57   32158807           2; drop:          189 drops,          192 index drops
#     1028627: 01 ea de 0b   32169483           2; drop:          190 drops,          193 index drops
#     1028811: 01 ea de c4   32169668           2; drop:          191 drops,          194 index drops
#     1039486: 01 eb 08 78   32180344           2; drop:          192 drops,          195 index drops
#     1039670: 01 eb 09 31   32180529           2; drop:          193 drops,          196 index drops
#     1050530: 01 eb 33 9e   32191390           2; drop:          194 drops,          197 index drops
#     1050714: 01 eb 34 57   32191575           2; drop:          195 drops,          198 index drops
information: i=1058425, received=44102, dt=3000ms, rate=114.849MB/s.
#     1061389: 01 eb 5e 0b   32202251           2; drop:          196 drops,          199 index drops
#     1061573: 01 eb 5e c4   32202436           2; drop:          197 drops,          200 index drops
#     1072248: 01 eb 88 78   32213112           2; drop:          198 drops,          201 index drops
#     1072432: 01 eb 89 31   32213297           2; drop:          199 drops,          202 index drops
#     1083292: 01 eb b3 9e   32224158           2; drop:          200 drops,          203 index drops
#     1083476: 01 eb b4 57   32224343           2; drop:          201 drops,          204 index drops
#     1094151: 01 eb de 0b   32235019           2; drop:          202 drops,          205 index drops
#     1094335: 01 eb de c4   32235204           2; drop:          203 drops,          206 index drops
information: i=1102526, received=44101, dt=3000ms, rate=114.846MB/s.
#     1105010: 01 ec 08 78   32245880           2; drop:          204 drops,          207 index drops
#     1105194: 01 ec 09 31   32246065           2; drop:          205 drops,          208 index drops
#     1116054: 01 ec 33 9e   32256926           2; drop:          206 drops,          209 index drops
#     1116238: 01 ec 34 57   32257111           2; drop:          207 drops,          210 index drops
#     1126913: 01 ec 5e 0b   32267787           2; drop:          208 drops,          211 index drops
#     1127097: 01 ec 5e c4   32267972           2; drop:          209 drops,          212 index drops
#     1137772: 01 ec 88 78   32278648           2; drop:          210 drops,          213 index drops
#     1137956: 01 ec 89 31   32278833           2; drop:          211 drops,          214 index drops
information: i=1146627, received=44101, dt=3000ms, rate=114.846MB/s.
#     1148816: 01 ec b3 9e   32289694           2; drop:          212 drops,          215 index drops
